2011-09-06,2011-09-07,447
2011-09-08,2011-09-12,914
2011-09-13,2011-09-15,661
2011-09-16,2011-09-19,713
2011-09-20,2011-09-21,388
2011-09-22,2011-09-25,711
2011-09-26,2011-09-28,609
2011-09-29,2011-10-02,644
2011-10-03,2011-10-04,381
2011-10-05,2011-10-09,839
2011-10-10,2011-10-13,777
2011-10-14,2011-10-17,696
2011-10-18,2011-10-20,550
2011-10-21,2011-10-25,886
2011-10-26,2011-10-28,585
2011-10-29,2011-11-01,705
2011-11-02,2011-11-03,383
2011-11-04,2011-11-08,953
2011-11-09,2011-11-11,612
2011-11-12,2011-11-15,736
2011-11-16,2011-11-18,608
2011-11-19,2011-11-22,783
2011-11-23,2011-11-25,565
2011-11-26,2011-11-29,757
2011-11-30,2011-12-01,460
2011-12-02,2011-12-04,558
2011-12-05,2011-12-06,467
2011-12-07,2011-12-09,598
2011-12-10,2011-12-13,752
2011-12-14,2011-12-16,661
2011-12-17,2011-12-21,911
2011-12-22,2011-12-24,547
2011-12-25,2011-12-30,947
2011-12-31,2012-01-04,833
2012-01-05,2012-01-07,640
2012-01-08,2012-01-11,899
2012-01-12,2012-01-14,657
2012-01-15,2012-01-18,860
2012-01-19,2012-01-21,601
2012-01-22,2012-01-25,876
2012-01-26,2012-01-27,480
2012-01-28,2012-01-30,650
2012-01-31,2012-02-01,524
2012-02-02,2012-02-04,729
2012-02-05,2012-02-08,955
2012-02-09,2012-02-11,732
2012-02-12,2012-02-14,749
2012-02-15,2012-02-16,560
2012-02-17,2012-02-19,717
2012-02-20,2012-02-22,809
2012-02-23,2012-02-23,276
2012-02-24,2012-02-25,488
2012-02-26,2012-02-28,794
2012-02-29,2012-03-01,512
2012-03-02,2012-03-04,692
2012-03-05,2012-03-07,886
2012-03-08,2012-03-08,298
2012-03-09,2012-03-11,720
2012-03-12,2012-03-14,939
2012-03-15,2012-03-15,278
2012-03-16,2012-03-18,672
2012-03-19,2012-03-21,818
2012-03-22,2012-03-22,244
2012-03-23,2012-03-24,446
2012-03-25,2012-03-27,735
2012-03-28,2012-03-29,566
2012-03-30,2012-04-01,646
2012-04-02,2012-04-04,842
2012-04-05,2012-04-05,296
2012-04-06,2012-04-08,681
2012-04-09,2012-04-11,844
2012-04-12,2012-04-13,564
2012-04-14,2012-04-16,694
2012-04-17,2012-04-19,897
2012-04-20,2012-04-20,316
2012-04-21,2012-04-22,437
2012-04-23,2012-04-25,836
2012-04-26,2012-04-27,541
2012-04-28,2012-04-30,673
2012-05-01,2012-05-03,868
2012-05-04,2012-05-04,300
2012-05-05,2012-05-06,439
2012-05-07,2012-05-09,864
2012-05-10,2012-05-10,322
2012-05-11,2012-05-13,656
2012-05-14,2012-05-16,785
2012-05-17,2012-05-17,263
2012-05-18,2012-05-19,428
2012-05-20,2012-05-22,740
2012-05-23,2012-05-24,570
2012-05-25,2012-05-28,865
2012-05-29,2012-05-31,830
2012-06-01,2012-06-01,258
2012-06-02,2012-06-04,755
2012-06-05,2012-06-07,838
2012-06-08,2012-06-09,504
2012-06-10,2012-06-12,771
2012-06-13,2012-06-16,896
2012-06-17,2012-06-18,461
2012-06-19,2012-06-21,854
2012-06-22,2012-06-23,483
2012-06-24,2012-06-26,749
2012-06-27,2012-06-30,960
2012-07-01,2012-07-03,729
2012-07-04,2012-07-06,829
2012-07-07,2012-07-07,221
2012-07-08,2012-07-10,810
2012-07-11,2012-07-13,835
2012-07-14,2012-07-14,267
2012-07-15,2012-07-16,487
2012-07-17,2012-07-19,867
2012-07-20,2012-07-21,468
2012-07-22,2012-07-24,730
2012-07-25,2012-07-28,959
2012-07-29,2012-07-31,744
2012-08-01,2012-08-03,844
2012-08-04,2012-08-05,391
2012-08-06,2012-08-08,732
2012-08-09,2012-08-12,903
2012-08-13,2012-08-14,494
2012-08-15,2012-08-17,789
2012-08-18,2012-08-19,338
2012-08-20,2012-08-22,815
2012-08-23,2012-08-26,934
2012-08-27,2012-08-28,497
2012-08-29,2012-09-01,928
2012-09-02,2012-09-04,690
2012-09-05,2012-09-07,801
2012-09-08,2012-09-08,209
2012-09-09,2012-09-10,476
2012-09-11,2012-09-13,802
2012-09-14,2012-09-15,422
2012-09-16,2012-09-18,708
2012-09-19,2012-09-22,989
2012-09-23,2012-09-25,741
2012-09-26,2012-09-28,792
2012-09-29,2012-09-30,380
2012-10-01,2012-10-03,778
2012-10-04,2012-10-07,982
2012-10-08,2012-10-09,541
2012-10-10,2012-10-12,803
2012-10-13,2012-10-14,384
2012-10-15,2012-10-17,778
2012-10-18,2012-10-21,970
2012-10-22,2012-10-24,854
2012-10-25,2012-10-28,946
2012-10-29,2012-10-31,825
2012-11-01,2012-11-03,846
2012-11-04,2012-11-04,231
2012-11-05,2012-11-06,561
2012-11-07,2012-11-09,795
2012-11-10,2012-11-11,419
2012-11-12,2012-11-14,826
2012-11-15,2012-11-17,809
2012-11-18,2012-11-18,244
2012-11-19,2012-11-21,893
2012-11-22,2012-11-24,691
2012-11-25,2012-11-26,476
2012-11-27,2012-11-29,900
2012-11-30,2012-12-02,731
2012-12-03,2012-12-03,299
2012-12-04,2012-12-05,541
2012-12-06,2012-12-08,818
2012-12-09,2012-12-10,491
2012-12-11,2012-12-13,861
2012-12-14,2012-12-17,961
2012-12-18,2012-12-19,575
2012-12-20,2012-12-23,942
2012-12-24,2012-12-26,561
2012-12-27,2012-12-30,933
2012-12-31,2013-01-01,420
